planet,star,radius,radius_up,radius_low,mass,mass_up,mass_low,density,density_up,density_low,pl_eqT
K2-146 b,K2-146,2.05,0.06,0.06,5.77,0.18,0.18,3.69,0.21,0.21,590.0
TRAPPIST-1 h,TRAPPIST-1,0.755,0.014,0.014,0.326,0.02,0.02,4.147,0.322,0.302,168.0
TRAPPIST-1 d,TRAPPIST-1,0.788,0.011,0.01,0.388,0.012,0.012,4.354,0.156,0.163,288.0
TRAPPIST-1 e,TRAPPIST-1,0.92,0.013,0.012,0.692,0.022,0.022,4.885,0.168,0.182,251.3
TRAPPIST-1 f,TRAPPIST-1,1.045,0.013,0.012,1.039,0.031,0.031,5.009,0.138,0.158,219.0
TRAPPIST-1 g,TRAPPIST-1,1.129,0.015,0.015,1.321,0.038,0.038,5.042,0.136,0.158,198.6
TRAPPIST-1 c,TRAPPIST-1,1.097,0.014,0.012,1.308,0.056,0.056,5.447,0.222,0.235,341.9
TRAPPIST-1 b,TRAPPIST-1,1.116,0.014,0.012,1.374,0.069,0.069,5.425,0.265,0.272,400.1
GJ 1132 b,GJ 1132,1.13,0.056,0.056,1.66,0.23,0.23,6.3,1.3,1.3,529.0
TOI-270 b,TOI-270,1.151,0.05,0.05,1.58,0.26,0.26,5.7,1.2,1.2,581.0
GJ 3053 c,GJ 3053,1.169,0.037,0.038,1.76,0.17,0.16,6.07,0.81,0.74,708.9
GJ 1252 b,GJ 1252,1.193,0.074,0.074,1.32,0.28,0.28,4.22,1.34,1.1,1089.0
GJ 357 b,GJ 357,1.217,0.084,0.083,1.84,0.31,0.31,5.6,1.7,1.3,525.0
LTT 3780 b,LTT 3780,1.32,0.06,0.06,2.47,0.24,0.24,5.91,1.08,0.89,1000.0
LHS 1478 b,LHS 1478,1.242,0.051,0.049,2.33,0.2,0.2,6.67,1.03,0.89,595.0
GJ 486 b,GJ 486,1.305,0.063,0.067,2.82,0.11,0.12,7.0,1.2,1.0,701.0
GJ 3473 b,GJ 3473,1.264,0.05,0.049,1.86,0.3,0.3,5.03,1.07,0.93,773.0
CD-60 8051 b,CD-60 8051,1.39,0.09,0.09,4.6,0.56,0.56,9.6,2.4,1.8,965.0
L 98-59 c,L 98-59,1.34,0.07,0.07,2.42,0.35,0.34,5.46,1.23,1.05,517.0
L 98-59 d,L 98-59,1.58,0.08,0.08,2.31,0.46,0.45,3.17,0.85,0.73,409.0
GJ 3053 b,GJ 3053,1.635,0.046,0.046,6.38,0.46,0.44,8.04,0.84,0.8,378.9
TOI-270 d,TOI-270,2.005,0.067,0.067,4.78,0.46,0.46,3.28,0.45,0.45,387.0
TOI-776 b,TOI-776,1.85,0.13,0.13,4.0,0.9,0.9,3.4,1.1,0.9,514.0
TOI-1634 b,TOI-1634,1.773,0.077,0.077,7.57,0.71,0.72,7.59,1.33,1.14,921.0
TOI-1685 b,TOI-1685,1.7,0.07,0.07,3.09,0.59,0.58,3.44,0.86,0.74,1069.0
TOI-1235 b,TOI-1235,1.694,0.08,0.077,6.69,0.67,0.69,7.25,1.3,1.1,775.0
K2-146 c,K2-146,2.19,0.07,0.07,7.49,0.24,0.24,3.92,0.27,0.27,520.0
LTT 3780 c,LTT 3780,2.33,0.14,0.13,7.02,0.69,0.67,3.03,0.66,0.54,397.0
TOI-270 c,TOI-270,2.332,0.072,0.072,6.14,0.38,0.38,2.68,0.3,0.3,488.0
K2-18 b,K2-18,2.711,0.065,0.065,8.64,1.35,1.35,2.4,0.4,0.4,284.0
TOI-269 b,TOI-269,2.77,0.12,0.12,8.8,1.4,1.4,2.28,0.48,0.42,531.0
GJ 1214 b,GJ 1214,2.85,0.2,0.2,6.26,0.86,0.86,1.49,0.42,0.33,576.0
K2-25 b,K2-25,3.44,0.12,0.12,24.5,5.7,5.2,3.3,0.8,0.8,494.0
TOI-1231 b,TOI-1231,3.65,0.16,0.15,15.4,3.3,3.3,1.74,0.47,0.42,329.0
