Name	LIV34	LIV55	GMM2	GMM3	DBSCAN	KMEANS2	KMEANS3
GJ 3053 b	0	0	0	0	-1	0	0
GJ 3053 c	0	0	0	0	0	0	0
LHS 1478 b	0	0	0	0	0	0	0
TOI-1634 b	0	0	0	0	-1	0	0
TOI-1685 b	1	1	2	1	-1	-1	-1
GJ 3473 b	0	0	0	0	0	0	0
L 98-59 c	0	0	0	0	0	0	-1
L 98-59 d	1	1	2	1	-1	-1	-1
K2-146 b	1	1	2	1	2	2	-1
K2-146 c	1	1	2	1	2	2	-1
GJ 357 b	0	0	0	0	0	0	0
TOI-1235 b	0	0	0	0	-1	0	0
GJ 1132 b	0	0	0	0	0	0	0
LTT 3780 b	0	0	0	0	0	0	0
LTT 3780 c	2	2	2	2	2	2	-1
K2-18 b	2	2	2	2	2	2	-1
TOI-776 b	1	1	2	1	-1	-1	-1
GJ 486 b	0	0	0	0	-1	0	0
GJ 1214 b	2	2	2	2	2	2	-1
GJ 1252 b	0	0	0	0	-1	0	0
TRAPPIST-1 b	0	0	0	0	0	0	0
TRAPPIST-1 c	0	0	0	0	0	0	0
TRAPPIST-1 d	0	0	0	0	-1	0	-1
TRAPPIST-1 e	0	0	0	0	-1	0	0
TRAPPIST-1 f	0	0	0	0	0	0	-1
TRAPPIST-1 g	0	0	0	0	0	0	-1
TRAPPIST-1 h	0	0	0	0	-1	0	-1
CD-60 8051 b	0	0	0	0	-1	0	0
TOI-270 b	0	0	0	0	0	0	0
TOI-270 c	2	2	2	2	2	2	-1
TOI-270 d	1	1	2	1	2	2	-1
K2-25 b	2	2	2	2	-1	2	-1
TOI-269 b	2	2	2	2	2	2	-1
TOI-1231 b	2	2	2	2	-1	2	-1
AU Mic c	-2	2	2	2	-1	2	-1
GJ 3090 b	-2	2	2	2	-1	2	-1
GJ 367 b	-2	0	-2	-2	-1	0	0
GJ 3929 b	-2	0	0	0	-1	0	0
GJ 806 b	-2	0	0	0	-1	0	0
HD 260655 b	-2	0	0	0	0	0	0
HD 260655 c	-2	0	0	0	-1	-1	-1
Kepler-26 b	-2	2	2	2	-1	2	-1
Kepler-26 c	-2	2	2	2	2	2	-1
L 98-59 b	-2	0	0	0	-1	0	0
LTT 1445 A b	-2	0	0	0	-1	0	0
LTT 1445 A c	-2	0	0	0	0	0	0
TOI-1075 b	-2	0	0	0	-1	0	0
TOI-1201 b	-2	2	2	2	2	2	-1
TOI-1452 b	-2	0	0	0	-1	-1	-1
TOI-1470 b	-2	1	2	1	2	2	-1
TOI-1470 c	-2	2	2	2	2	2	-1
TOI-1695 b	-2	1	0	0	-1	-1	-1
TOI-1801 b	-2	1	2	1	2	2	-1
TOI-2136 b	-2	1	2	1	2	2	-1
TOI-244 b	-2	1	0	0	-1	-1	-1
